"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610066005","Block Group 5, Census Tract 66, New York County, New York","466","247","0","11","0","11","108","125","111","180","31","52","19","54","0","11","150","197","47","78","0","11"
"1500000US360610066006","Block Group 6, Census Tract 66, New York County, New York","13","46","0","11","13","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610066007","Block Group 7, Census Tract 66, New York County, New York","496","287","21","45","0","11","0","11","209","266","106","90","0","11","64","110","52","87","44","73","0","11"
"1500000US360610066008","Block Group 8, Census Tract 66, New York County, New York","738","292","43","72","0","11","182","188","227","265","114","173","172","206","0","11","0","11","0","11","0","11"
"1500000US360610066009","Block Group 9, Census Tract 66, New York County, New York","749","315","82","96","85","136","0","11","208","264","263","134","68","120","0","11","43","69","0","11","0","11"
"1500000US360610067001","Block Group 1, Census Tract 67, New York County, New York","709","162","100","85","67","63","78","51","57","46","41","41","91","80","16","26","103","86","156","69","0","11"
"1500000US360610067002","Block Group 2, Census Tract 67, New York County, New York","531","173","83","74","54","37","103","66","77","100","44","33","10","16","10","17","14","24","136","102","0","11"
"1500000US360610067003","Block Group 3, Census Tract 67, New York County, New York","568","152","0","11","51","42","143","79","77","87","20","31","116","97","14","23","31","38","116","111","0","11"
"1500000US360610067004","Block Group 4, Census Tract 67, New York County, New York","647","169","46","42","145","90","21","32","80","79","51","71","42","40","25","45","48","45","145","121","44","67"
"1500000US360610068001","Block Group 1, Census Tract 68, New York County, New York","491","198","21","34","142","134","0","11","111","97","0","11","129","160","0","11","48","58","40","50","0","11"
"1500000US360610068002","Block Group 2, Census Tract 68, New York County, New York","373","122","46","57","23","39","0","11","56","68","94","104","29","48","18","30","19","30","68","84","20","34"
"1500000US360610068003","Block Group 3, Census Tract 68, New York County, New York","267","101","30","47","28","52","28","46","0","11","45","55","28","44","30","49","0","11","78","73","0","11"
"1500000US360610068004","Block Group 4, Census Tract 68, New York County, New York","620","240","0","11","145","166","32","50","56","70","114","89","28","49","0","11","0","11","245","171","0","11"
"1500000US360610068005","Block Group 5, Census Tract 68, New York County, New York","255","190","86","93","0","11","0","11","26","43","0","11","89","144","0","11","0","11","0","11","54","82"
"1500000US360610068006","Block Group 6, Census Tract 68, New York County, New York","602","166","21","35","109","78","33","52","39","64","109","108","163","114","0","11","28","45","100","84","0","11"
"1500000US360610069000","Block Group 0, Census Tract 69, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610069001","Block Group 1, Census Tract 69, New York County, New York","785","111","223","84","135","62","112","62","45","34","31","41","16","18","9","13","87","68","120","70","7","10"
"1500000US360610070001","Block Group 1, Census Tract 70, New York County, New York","1131","295","87","103","83","81","122","99","218","156","93","76","117","104","24","39","0","11","300","205","87","90"
"1500000US360610070002","Block Group 2, Census Tract 70, New York County, New York","334","170","26","43","0","11","77","83","0","11","131","121","0","11","51","64","0","11","49","55","0","11"
"1500000US360610070003","Block Group 3, Census Tract 70, New York County, New York","882","292","52","60","61","70","0","11","148","117","49","78","23","37","56","61","119","119","336","237","38","59"
"1500000US360610070004","Block Group 4, Census Tract 70, New York County, New York","230","187","0","11","0","11","68","83","100","160","0","11","0","11","18","30","27","42","17","32","0","11"
"1500000US360610070005","Block Group 5, Census Tract 70, New York County, New York","458","179","29","48","55","46","85","85","107","128","104","75","0","11","16","28","0","11","62","62","0","11"
"1500000US360610070006","Block Group 6, Census Tract 70, New York County, New York","730","211","20","32","47","55","111","98","24","38","88","84","25","42","55","63","34","55","254","176","72","119"
"1500000US360610150021","Block Group 1, Census Tract 150.02, New York County, New York","293","93","33","37","70","63","15","24","27","23","15","23","0","11","0","11","0","11","42","65","91","86"
"1500000US360610150022","Block Group 2, Census Tract 150.02, New York County, New York","154","64","32","58","0","11","98","119","0","11","0","11","0","11","0","11","0","11","0","11","24","44"
"1500000US360610150023","Block Group 3, Census Tract 150.02, New York County, New York","130","56","51","29","0","11","44","42","19","31","0","11","0","11","0","11","16","25","0","11","0","11"
"1500000US360610150024","Block Group 4, Census Tract 150.02, New York County, New York","197","108","12","20","14","24","0","11","18","29","0","11","103","118","34","27","0","11","16","27","0","11"
"1500000US360610151000","Block Group 0, Census Tract 151, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610151001","Block Group 1, Census Tract 151, New York County, New York","505","183","0","11","0","11","96","114","46","73","51","60","19","32","101","134","10","19","182","127","0","11"
